"Ship_Mode","Segment","City","State","Sub_Category","diff_in_days","Sales","Quantity","Discount","Profit"
"Standard Class","Consumer","Dallas","Texas","Furnishings",4,31.776,3,0.6,-19.0656
"Standard Class","Consumer","San Bernardino","California","Supplies",4,33.36,4,0,8.6736
"Standard Class","Consumer","Richmond","Virginia","Furnishings",4,82.38,6,0,25.5378
"First Class","Corporate","Macon","Georgia","Accessories",3,83.88,4,0,30.1968
"First Class","Consumer","Oakland","California","Art",1,17.12,4,0,4.9648
"Standard Class","Consumer","Grand Prairie","Texas","Phones",4,219.8,5,0.2,24.7275
"Second Class","Corporate","Dover","New Hampshire","Appliances",2,33.28,4,0,9.3184
"Standard Class","Consumer","Charlotte","North Carolina","Binders",4,17.22,5,0.7,-12.628
"Standard Class","Home Office","Pasadena","Texas","Machines",6,336.51,3,0.4,44.868
"Standard Class","Consumer","Carol Stream","Illinois","Chairs",4,408.422,2,0.3,-5.8346
"Standard Class","Corporate","Richmond","Kentucky","Storage",5,193.95,3,0,9.6975
"Second Class","Consumer","Pomona","California","Labels",4,18.75,5,0,9
"Standard Class","Consumer","New York City","New York","Furnishings",4,187.76,4,0,76.9816
"Standard Class","Corporate","New York City","New York","Binders",6,931.176,3,0.2,314.2719
"Standard Class","Corporate","New York City","New York","Binders",5,24.672,4,0.2,7.71
"Standard Class","Consumer","New York City","New York","Phones",4,299.9,2,0,74.975
"Standard Class","Consumer","Kenosha","Wisconsin","Chairs",4,860.93,7,0,189.4046
"Standard Class","Home Office","New York City","New York","Binders",5,125.76,3,0.2,40.872
"First Class","Corporate","San Francisco","California","Paper",1,17.12,2,0,8.0464
"Standard Class","Consumer","San Francisco","California","Accessories",6,223.58,14,0,87.1962
"First Class","Corporate","Knoxville","Tennessee","Tables",3,328.59,3,0.4,-147.8655
"Standard Class","Consumer","New York City","New York","Chairs",6,2888.127,11,0.1,609.7157
"Standard Class","Consumer","Detroit","Michigan","Appliances",4,376.74,4,0.1,71.162
"Standard Class","Home Office","Los Angeles","California","Phones",4,255.936,8,0.2,28.7928
"Standard Class","Consumer","Denver","Colorado","Phones",4,105.584,2,0.2,9.2386
"First Class","Home Office","Murray","Utah","Paper",3,48.4,5,0,23.232
"Standard Class","Consumer","Plano","Texas","Labels",6,13.216,4,0.2,4.2952
"Same Day","Consumer","Columbus","Ohio","Binders",0,18.264,2,0.7,-13.3936
"Standard Class","Corporate","Dallas","Texas","Binders",4,1.044,1,0.8,-1.827
"Standard Class","Corporate","Austin","Texas","Paper",6,36.288,7,0.2,12.7008
"Standard Class","Consumer","Austin","Texas","Phones",4,55.992,1,0.2,5.5992
"Second Class","Corporate","Meriden","Connecticut","Art",2,4.56,2,0,2.0064
"Standard Class","Corporate","Los Angeles","California","Binders",7,18.288,6,0.2,5.715
"First Class","Corporate","Philadelphia","Pennsylvania","Binders",3,7.518,2,0.7,-5.7638
"First Class","Corporate","San Jose","California","Paper",2,105.52,4,0,48.5392
"Standard Class","Consumer","Pasco","Washington","Chairs",6,975.92,5,0.2,121.99
"Standard Class","Corporate","Noblesville","Indiana","Tables",6,2678.94,6,0,241.1046
"Standard Class","Consumer","San Francisco","California","Appliances",5,7.78,2,0,2.0228
"First Class","Corporate","Philadelphia","Pennsylvania","Storage",3,332.704,1,0.2,33.2704
"Standard Class","Consumer","Bakersfield","California","Furnishings",4,41.6,4,0,14.144
"Standard Class","Consumer","Kissimmee","Florida","Phones",4,751.984,2,0.2,84.5982
"Second Class","Consumer","Mission Viejo","California","Labels",4,26.25,7,0,12.6
"First Class","Consumer","Salem","Oregon","Art",3,7.88,1,0.2,1.773
"Standard Class","Corporate","San Antonio","Texas","Paper",4,42.24,10,0.2,13.2
"Standard Class","Corporate","Jackson","Mississippi","Appliances",4,32.67,3,0,8.4942
"Standard Class","Consumer","Atlanta","Georgia","Paper",4,286.93,7,0,140.5957
"Same Day","Consumer","Chicago","Illinois","Furnishings",0,17.496,9,0.6,-7.4358
"Standard Class","Consumer","Wheeling","Illinois","Tables",6,601.47,3,0.5,-300.735
"First Class","Consumer","Lafayette","Louisiana","Tables",1,1504.52,4,0,346.0396
"Standard Class","Corporate","Detroit","Michigan","Paper",7,17.34,3,0,8.4966
"First Class","Consumer","Waynesboro","Virginia","Binders",2,9.14,1,0,4.57
"First Class","Corporate","Springfield","Oregon","Accessories",3,91.176,3,0.2,4.5588
"Standard Class","Home Office","Houston","Texas","Binders",5,9.264,3,0.8,-13.896
"Second Class","Corporate","La Porte","Indiana","Paper",3,19.98,2,0,8.991
"Standard Class","Consumer","Jacksonville","North Carolina","Paper",4,47.952,3,0.2,16.1838
"Second Class","Consumer","Jacksonville","North Carolina","Accessories",4,79.992,1,0.2,21.9978
"Standard Class","Corporate","Houston","Texas","Paper",4,56.704,2,0.2,19.1376
"Second Class","Consumer","Fargo","North Dakota","Art",2,131.94,3,0,35.6238
"Standard Class","Home Office","Salt Lake City","Utah","Paper",6,60.12,9,0,28.8576
"Standard Class","Home Office","San Diego","California","Accessories",7,21.21,7,0,4.4541
"Standard Class","Home Office","New York City","New York","Chairs",7,271.764,2,0.1,60.392
"Standard Class","Consumer","Houston","Texas","Art",4,2.688,2,0.2,1.008
"Standard Class","Corporate","Lakewood","New Jersey","Storage",4,81.96,2,0,0
"First Class","Consumer","Newark","Ohio","Phones",3,101.988,2,0.4,-16.998
"Second Class","Corporate","San Francisco","California","Labels",2,6.3,2,0,3.024
"Standard Class","Home Office","Chicago","Illinois","Accessories",4,95.976,3,0.2,-10.7973
"Same Day","Consumer","New York City","New York","Phones",0,16.99,1,0,4.4174
"Second Class","Consumer","Chicago","Illinois","Binders",5,1.928,2,0.8,-2.9884
"Standard Class","Home Office","San Francisco","California","Furnishings",4,4.95,1,0,2.178
"Second Class","Consumer","Columbus","Ohio","Fasteners",5,10.464,6,0.2,1.7004
"Standard Class","Consumer","Wheeling","Illinois","Furnishings",6,14.136,2,0.6,-7.7748
"Standard Class","Consumer","New Albany","Indiana","Chairs",4,89.99,1,0,17.0981
"Standard Class","Consumer","Los Angeles","California","Chairs",7,203.92,5,0.2,22.941
"Second Class","Consumer","Everett","Massachusetts","Bookcases",2,782.94,3,0,203.5644
"First Class","Consumer","Lake Forest","California","Appliances",3,542.94,3,0,152.0232
"Same Day","Consumer","Houston","Texas","Furnishings",0,20.104,2,0.6,-16.5858
"Standard Class","Home Office","Baltimore","Maryland","Labels",5,7.83,3,0,3.6018
"Second Class","Corporate","Newark","Delaware","Art",2,9.84,3,0,2.6568
